Manufacturer,Model,Glass Diameter (mm),Image Diameter (mm),Closest Production Size (mm),Undercut (mm),Production Review,Notes
"High End Systems","SolaSpot 1000","30","25","29.9","0.1","",""
"High End Systems","SolaSpot 3000 - Fixed, Metal Only","30","25","29.9","0.1","",""
"High End Systems","SolaSpot 3000 - Rotating, Glass Only","30","25","29.9","0.1","","1.1mm Maximum Thickness."
"High End Systems","SolaSpot LED","27","20","26.5","0.5","","1.1mm Maximum Thickness."
"High End Systems","SolaSpot Pro 1000","30","25","29.9","0.1","",""
"High End Systems","SolaSpot Pro 1500","30","25","29.9","0.1","",""
"High End Systems","SolaSpot Pro 2000","30","25","29.9","0.1","",""
"High End Systems","SolaSpot Pro CMY","28.75","23.4","27.8","0.95","",""
"High End Systems","SolaSpot Pro CMY LED","28.75","23","27.8","0.95","",""
"High End Systems","Studio Spot 250","25","19","25","0","",""
"High End Systems","Studio Spot 250 (not FX)","25","22","25","0","","Gobo holder: Gobo Wheel."
"High End Systems","Studio Spot 250 FX","36.3","30","35.3","1","Nearest size is 1 mm under the holder","Gobo holder: FX Wheel."
"High End Systems","Studio Spot 575","36.4","31.75","35.3","1.1","Nearest size is 1.1 mm under the holder",""
"High End Systems","Studio Spot 575 FX","36.3","30","35.3","1","Nearest size is 1 mm under the holder","Gobo holder: FX Wheel."
"High End Systems","Technobeam","25","20","25","0","",""
"High End Systems","Technobeam FX","36.3","30","35.3","1","Nearest size is 1 mm under the holder","Gobo holder: FX Wheel."
"High End Systems","Technobeam FX Wheel","36","26","35.3","0.7","","Use 35.3mm Glass without ring."
"High End Systems","Technospot","29","24","27.8","1.2","Nearest size is 1.2 mm under the holder",""
"High End Systems","Trackspot","25","22","25","0","","Cannot supply, only takes METAL GOBOS. GoboPlus lists image 20mm - verify."
"High End Systems","Trackspot Bolt","29","23","27.8","1.2","Nearest size is 1.2 mm under the holder","Gobo holder: FX Wheel."
"High End Systems","X-Spot","36.4","31.75","35.3","1.1","Nearest size is 1.1 mm under the holder","GoboPlus lists image 30mm - verify."
"Highlight","Infinity IS-100 LED","27","23","26.5","0.5","",""
"Highlite","Artecta Display Track Profile 50 SW","23","21","22.5","0.5","","Metal gobos only."
"Highlite","Artecta Image Spot 100","23.8","15","23.7","0.1","",""
"Highlite","Artecta Image Spot 150 CW","28.8","26","27.8","1","Nearest size is 1 mm under the holder",""
"Highlite","Artecta Image Spot 170 FC","56","53","53.3","2.7","Nearest size is 2.7 mm under the holder","Glass gobos only."
"Highlite","Artecta Image Spot 200","28.6","20","27.8","0.8","",""
"Highlite","FX Image Spot","34.5","25","33.8","0.7","",""
"Highlite","Infinity Furion P402 Profile","20","15","20","0","","Glass gobos only."
"Highlite","Infinity Furion P602 Profile","25","18","25","0","",""
"Highlite","Infinity Furion S602 Spot","25","18","25","0","",""
"Highlite","Infinity Furion SP402 Spot","20","15","20","0","",""
"Highlite","Infinity IB-16R Hybrid","15.7","12","","","No production size at or below 15.7 mm","1.1mm Maximum Thickness."
"Highlite","Infinity S201 Spot","25.8","22.5","25.5","0.3","",""
"Holiday Projectors","Super Bleft Holiday Projector","27.9","22.5","27.8","0.1","",""
"Hubbell","HX150, 250, 500","32.5","28","31.5","1","Nearest size is 1 mm under the holder",""
"Hutton Lighting","P650","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder","Gobo holder: GH15. M size."
"Icon","Icon","53.3","40","53.3","0","",""
"Iguzzini","EN24 Palco Framer","40","30","37.5","2.5","Nearest size is 2.5 mm under the holder",""
"Iguzzini","EN27 Palco Framer","67","40","66","1","Nearest size is 1 mm under the holder","Glass gobos only."
"Iguzzini","EN27 Palco In/Out framer","67","40","66","1","Nearest size is 1 mm under the holder","Glass gobos only."
"Iguzzini","Le Perroquet","66","30","66","0","","Glass gobos only."
"Iguzzini","Le Perroquet 100W","42.9","26","37.5","5.4","Nearest size is 5.4 mm under the holder","Glass gobos only."
"Iguzzini","Palco MT85","70","40","70","0","","Gobo holder: Glass only- 40mm with 70mm Donut."
"Iguzzini","Palco MT85 - Glass Only","50","35","50","0","",""
"Ikea","Isbrytare","50","32","50","0","","GoboPlus lists glass 49.5mm; image 35mm - verify."
"Ikea","Item no. 21790","44","20","44","0","","New Ikea light specification from Emma Livesey."
"iLED","LED Spot 1000, 2000","25.5","19","25.5","0","",""
"iLED","LED Spot 4000","32.75","24","32.7","0.05","",""
"Infinity","Gobo Tunnel","28","24","27.8","0.2","",""
"InstaGobo","SP1520 15W","37","23","35.3","1.7","Nearest size is 1.7 mm under the holder",""
"iSolution","iMove 575S","26.8","21","26.5","0.3","",""
"ITO","ITO","50","35","50","0","","Square gobo, not round."
"J Lighting","LED 2000","25.7","19","25.5","0.2","",""
"James Thomas","650W Profile","53.3","40","53.3","0","","Gobo holder: GH12 metal."
"James Thomas","Image +3","37.5","28","37.5","0","",""
"JB (Systems)","Challenger BSW","23.8","20","23.7","0.1","",""
"JB (Systems)","LED Rotogobo","28","23","27.8","0.2","",""
"JB (Systems)","Mini Logo","26.8","22","26.5","0.3","",""
"JB (Systems)","Outdoor LED Roto Gobo","37.5","24.5","37.5","0","",""
"JB Lighting","M18 Profile","33.9","26","33.8","0.1","","Glass gobos only."
"JB Lighting","P7 Spot","27.9","23","27.8","0.1","",""
"JB Lighting","P9 Spot","19.9","15","16","3.9","Nearest size is 3.9 mm under the holder","Glass gobos only. 1.1mm Maximum Thickness."
"JB Lighting","P10 Profile","19.9","15","16","3.9","Nearest size is 3.9 mm under the holder","Glass gobos only. 1.1mm Maximum Thickness."
"JB Lighting","P12 Profile","27.9","22","27.8","0.1","","1.1mm Maximum Thickness."
"JB Lighting","P12 Spot","27.9","22","27.8","0.1","","1.1mm Maximum Thickness."
"JB Lighting","P12 Wash","27.9","22","27.8","0.1","","1.1mm Maximum Thickness."
"JB Lighting","P15","27.9","22","27.8","0.1","","Glass gobos only. 1.1mm Maximum Thickness."
"JB Lighting","P18 Mk2","33.9","26","33.8","0.1","","Glass gobos only. 1.1mm Maximum Thickness."
"JB Lighting","P18 Profile","33.9","26","33.8","0.1","","1.1mm Maximum Thickness."
"JB Lighting","P18 Wash","33.9","28","33.8","0.1","","1.1mm Maximum Thickness."
"JB Lighting","Vary Scan 3","25","12","25","0","",""
"JB Lighting","Vary Scan 4, 5","51.8","45","50","1.8","Nearest size is 1.8 mm under the holder",""
"JB Lighting","Varyscan 6","37.5","28","37.5","0","",""
"JB Lighting","Varyscan 7 1200 HMI","51.8","45","50","1.8","Nearest size is 1.8 mm under the holder",""
"JB Lighting","Varyscan P3 250 HTI","37.5","28","37.5","0","",""
"JB Lighting","Varyscan P6 575 HMI","51.8","45","50","1.8","Nearest size is 1.8 mm under the holder",""
"JF (Lighting)","Projector","68","35","66","2","Nearest size is 2 mm under the holder",""
"Jocker","Halo 250W","53.3","40","53.3","0","",""
"Kleigel","3.5"" Ellipsoidal","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"La Conch","Vision Light","53.3","40","53.3","0","",""
"Lampo","Columbus, Raffello, Sentisi","32","25","31.5","0.5","",""
"Lastolite (Manfrotto)","Strobo Kit","86","64.5","86","0","",""
"LDR","Alba 8/22, 18/36, 30/55","86","64.5","86","0","",""
"LDR","Arpa 8/22, 18/36, 30/55","86","64.5","86","0","",""
"LDR","Astro 250","86","64.5","86","0","",""
"LDR","Astro 250 HP","86","64.5","86","0","",""
"LDR","Astro 600","86","64.5","86","0","",""
"LDR","Canto 250 HR MK2","86","64.5","86","0","",""
"LDR","Canto 250 MSD","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"LDR","Canto 575 MSD / MSR MK2 120V, 230V, 250V","86","64.5","86","0","",""
"LDR","Canto 700 MSD / MSR MK2 120V, 230V","86","64.5","86","0","",""
"LDR","Canto 1000, 1200, 2000 TH MK2","86","64.5","86","0","",""
"LDR","Canto 1200 MSD / MSR MK2 120V, 230V","86","64.5","86","0","",""
"LDR","Canto 1500, 2000 MSR FF","86","64.5","86","0","",""
"LDR","Cetra 10/28, 20/40","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"LDR","Nota 8/22, 18/36, 30/55","86","64.5","86","0","",""
"LDR","Soffio","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"LDR","Suono 10/28 +, 20/40 +","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"LDR","Tono 8/22, 18/36, 30/55","86","64.5","86","0","",""
"Lee Colortran","Windsor","100","75","100","0","","Gobo holder: GH01 metal, GH02 glass."
"Lee Colortran","Windsor","86","64.5","86","0","","Gobo holder: GH03 metal."
"Leviton","LEO Ellipsoidal","100","58","100","0","","GoboPlus lists image 75mm - verify."
"Light Emotion","Logo Star","37.5","28","37.5","0","",""
"Light Emotion","Moving Head 75W","24","20","23.7","0.3","",""
"Light Sky","1200W Moving Head","27.5","22","26.5","1","Nearest size is 1 mm under the holder",""
"Light Sky","Scope T1","22.9","17","22.5","0.4","",""
"Lighting Services Inc.","BP75","53.3","40","53.3","0","",""
"Litelees","Big Hero 330","10","8","","","No production size at or below 10 mm",""
"Ljusdesign","Arty Framer","22.5","14","22.5","0","",""
"Ljusdesign","Neo Framer","37.5","28","37.5","0","",""
"LSW","Logo Star","37.5","28","37.5","0","",""
"LSW","Solo 250","26.9","22","26.5","0.4","",""
"Mad","Axis (AX15) 250, 250 Pro","37.5","28","37.5","0","",""
"Mad","EVL Pro 250","26.5","20","26.5","0","",""
"Mad","IMP Image Marketing projector 1.6, 2.6","37.5","28","37.5","0","",""
"Mad","ITM 250, 250R Scan","37.5","28","37.5","0","",""
"Mad","Q Scan EXP","37.5","28","37.5","0","",""
"MagnetMod","MAGMOD","85×60","40","","","Not a standard round size","Metal gobos only. Rectangular gobo, not round."
"Marq","Gesture Spot 350, 500","23.5","19","22.5","1","Nearest size is 1 mm under the holder",""
"Marq","Onset 120WW","86","64.5","86","0","",""
"Martin Professional","Axiom","13.9","9","","","No production size at or below 13.9 mm","High Intensity (Heavy Matted)."
"Martin Professional","Axiom Hybrid - Special Coating required","13.9","9","","","No production size at or below 13.9 mm",""
"Martin Professional","CX 10 Projector","22.5","17","22.5","0","",""
"Martin Professional","CX-10","22.5","17","22.5","0","",""
"Martin Professional","EGO 1-3","22.5","16","22.5","0","",""
"Martin Professional","Ego 2","22.5","17","22.5","0","",""
"Martin Professional","ELP A Size Holder","100","75","100","0","",""
"Martin Professional","ELP B Size Holder","86","64.5","86","0","",""
"Martin Professional","ELP CL - A Size Holder","100","75","100","0","",""
"Martin Professional","ELP CL - B Size Holder","86","64.5","86","0","",""
"Martin Professional","Era 300","26.8","19","26.5","0.3","","Glass gobos only. 1.1mm Maximum Thickness."
"Martin Professional","Era 400","26.8","19","26.5","0.3","","Glass gobos only. 1.1mm Maximum Thickness."
"Martin Professional","Era 600","23","19","22.5","0.5","","Glass gobos only. 1.1mm Maximum Thickness."
"Martin Professional","ERA 700 IP Glass only","23","19","22.5","0.5","",""
"Martin Professional","Era 800","30","25","29.9","0.1","","Glass gobos only. 1.1mm Maximum Thickness."
"Martin Professional","Exterior 400 Image Projector","27.9","23","27.8","0.1","","1.8mm Maximum Thickness."
"Martin Professional","Exterior 400 IP","27.9","17","27.8","0.1","",""
"Martin Professional","Exterior 1200","53.3","48","53.3","0","",""
"Martin Professional","Exterior 1200 Image Projector","53.3","48","53.3","0","",""
"Martin Professional","Exterior Projection Pro Compact","19","15","16","3","Nearest size is 3 mm under the holder",""
"Martin Professional","Exterior Projector 500 IP","30","23","29.9","0.1","","Glass gobos only."
"Martin Professional","Exterior Projector 1000 IP","30","26","29.9","0.1","","Glass gobos only."
"Martin Professional","Imager","53.3","40","53.3","0","",""
"Martin Professional","Imagescan","53.3","44","53.3","0","","GoboPlus lists image 40mm - verify."
"Martin Professional","Mac 250","22.5","17","22.5","0","",""
"Martin Professional","Mac 250 / 250+","22.5","17","22.5","0","",""
"Martin Professional","Mac 250 Entour","22.5","17","22.5","0","",""
"Martin Professional","Mac 250 krypton","22.5","17","22.5","0","",""
"Martin Professional","Mac 350 Entour","27.9","23","27.8","0.1","",""
"Martin Professional","Mac 500","27.9","23","27.8","0.1","",""
"Martin Professional","Mac 550","27.8","23","27.8","0","",""
"Martin Professional","Mac 550 Profile","27.9","23","27.8","0.1","",""
"Martin Professional","Mac 575 Krypton","27.9","23","27.8","0.1","",""
"Martin Professional","Mac 700","27.8","23","27.8","0","",""
"Martin Professional","Mac 700 Profile","27.9","23","27.8","0.1","",""
"Martin Professional","Mac 1200","53.3","40","53.3","0","",""
"Martin Professional","Mac 2000","37.5","28","37.5","0","",""
"Martin Professional","Mac 2000 Rotating","37.5","30","37.5","0","",""
"Martin Professional","Mac Allure Profile","27.9","24","27.8","0.1","","Glass gobos only."
"Martin Professional","MAC Axiom Hybrid","13.9","9","","","No production size at or below 13.9 mm",""
"Martin Professional","Mac Encore","37.5","27","37.5","0","","Glass gobos only."
"Martin Professional","MAC Encore Performance","37.5","27","37.5","0","",""
"Martin Professional","Mac Encore Performance CLD","37.5","27","37.5","0","","Glass gobos only."
"Martin Professional","Mac Encore Performance WRM","37.5","27","37.5","0","","Glass gobos only."
"Martin Professional","Mac Encore Two","27.1","22","26.5","0.6","","High-temperature glass gobos only. 1.1mm Maximum Thickness."
"Martin Professional","Mac III","37.5","30","37.5","0","",""
"Martin Professional","Mac III Profile","37.5","30","37.5","0","",""
"Martin Professional","Mac III Profile animation wheel","133.9","32","100","33.9","Nearest size is 33.9 mm under the holder","Image area unusually small against the 133.9 mm glass - verify."
"Martin Professional","Mac Quantum Profile","27.9","24","27.8","0.1","",""
"Martin Professional","Mac Ultra","37.5","29","37.5","0","","High Intensity (Heavy Matted)."
"Martin Professional","Mac Ultra Performance","37.5","30","37.5","0","","1.1mm Maximum Thickness."
"Martin Professional","Mac Viper","37.5","27","37.5","0","",""
"Martin Professional","Mac Viper Air-FX","37.5","27","37.5","0","","Glass gobos only."
"Martin Professional","Mac Viper Beam","37.5","27","37.5","0","","Glass gobos only."
"Martin Professional","Mac Viper Performance","37.5","27","37.5","0","","Glass gobos only."
"Martin Professional","Mac Viper Profile","37.5","27","37.5","0","","Glass gobos only."
"Martin Professional","Mac Viper Quadray","37.5","27","37.5","0","",""
"Martin Professional","Mac Viper Quadray Aerial Effects","47","36","44","3","Nearest size is 3 mm under the holder",""
"Martin Professional","MAC Viper XIP","27.1","22","26.5","0.6","","High-temperature glass gobos only."
"Martin Professional","Mania DC3","54","38","53.3","0.7","",""
"Martin Professional","Mania DR1","53.3","40","53.3","0","",""
"Martin Professional","Mania EF3","54","43","53.3","0.7","",""
"Martin Professional","Mania PR1","53.3","40","53.3","0","",""
"Martin Professional","Mania SCX-600","22.5","17","22.5","0","",""
"Martin Professional","Mania SCX-700","22.5","17","22.5","0","",""
"Martin Professional","Mania SCX-800","22.5","17","22.5","0","",""
"Martin Professional","MH1 Rush","26.8","22","26.5","0.3","",""
"Martin Professional","MH7 Hybrid","14","7","","","No production size at or below 14 mm",""
"Martin Professional","Mini Mac","22.5","17","22.5","0","",""
"Martin Professional","Mini Mac Maestro","37.5","30","37.5","0","","GoboPlus lists image 28mm - verify."
"Martin Professional","Mini Mac Profile","22.5","17","22.5","0","",""
"Martin Professional","MX10 Extreme","22.5","17","22.5","0","",""
"Martin Professional","MX-10","22.5","17","22.5","0","","Maximum Thickness. 1.8mm"
"Martin Professional","Pal 1200 E","53.3","40","53.3","0","",""
"Martin Professional","Pal 1200 Scanner","50","40","50","0","",""
"Martin Professional","PRO 218","14","10","","","No production size at or below 14 mm","Square gobo, not round."
"Martin Professional","Proscan 1220 XR","37.5","28","37.5","0","",""
"Martin Professional","Quantum Profile","27.9","23","27.8","0.1","",""
"Martin Professional","Roboscan 518 Mk 1","25","13","25","0","","Has notches."
"Martin Professional","Roboscan 812","15","13","","","No production size at or below 15 mm",""
"Martin Professional","Roboscan 918","27.8","23","27.8","0","",""
"Martin Professional","Roboscan 1020/1220","37.5","28","37.5","0","",""
"Martin Professional","Roboscan 1220","37.5","28","37.5","0","",""
"Martin Professional","RoboScan Pro 518","21.5","14","21.4","0.1","","Needs Special Holder (Unavailable)."
"Martin Professional","RoboScan Pro 918","27.9","23","27.8","0.1","",""
"Martin Professional","RUSH Gobo Projector 1","37.5","24","37.5","0","",""
"Martin Professional","Rush MH5","24","20","23.7","0.3","",""
"Martin Professional","RUSH MH 7 Hybrid","14","8","","","No production size at or below 14 mm",""
"Martin Professional","SmartMAC","27.9","23","27.8","0.1","",""
"MaxiLed","MaxiGOBO 30","37.5","24","37.5","0","",""
"MaxiLed","MaxiGOBO 60","37.5","24","37.5","0","",""
"MaxiLed","MaxiGOBO 200","25.8","20","25.5","0.3","",""
"MaxiLed","MaxiGOBO 400","25.8","20","25.5","0.3","",""
"MaxiLed","MaxiGobo 600","25.8","20","25.5","0.3","",""
"Microh","Ultra Spot 575 2","26.8","22","26.5","0.3","",""
"Microh","ULTRA SPOT 575 II","26.8","22","26.5","0.3","",""
"Microlite","Microprofile","37.5","28","37.5","0","","Gobo holder: GH14."
"Microlite","Polaris","37.5","28","37.5","0","","Gobo holder: GH14."
"Miltec","Pro Solo 250","26.8","22","26.5","0.3","",""
"Mole Richardson","Mole Richardson","168","28","100","68","Nearest size is 68 mm under the holder","Non-circular; check with manufacturing. Image area unusually small against the 168 mm glass - verify."
"Movitec","SL250, 575","26.8","22","26.5","0.3","",""
"Multiblitz","Spot 500","86","64.5","86","0","",""
"Multiblitz","Universal Snoot","86","64.5","86","0","",""
"Nanlite","Forza 60 & 60B Projection Attachment","78","55","70","8","Nearest size is 8 mm under the holder","Metal gobos only."
"Nicols","BSW 10R","15","12","","","No production size at or below 15 mm",""
"Nicols","BSW 17R IP","15","11","","","No production size at or below 15 mm","Glass gobos only."
"Nicols","BSW 200 LED","24","20","23.7","0.3","",""
"Nicols","GP 80R1 1P","54","45","53.3","0.7","",""
"Nicols","GP 200 R1 IP Z","25","21","25","0","",""
"Nicols","IP 20 F1 IP","37","26","35.3","1.7","Nearest size is 1.7 mm under the holder",""
"Nicols","PI 20 F1 ENCA","37","26","35.3","1.7","Nearest size is 1.7 mm under the holder",""
"Nicols","PI 20 R1 IP","37","26","35.3","1.7","Nearest size is 1.7 mm under the holder",""
"Nicols","PI 40 R1 IP - Steel Frame required for magentic mounting","54","44","53.3","0.7","",""
"Nicols","PI 80 F4 IP","30","26","29.9","0.1","",""
"Nicols","PI 80 R1 IP - Steel frame required for magnetic mounting","54","44","53.3","0.7","",""
"Nicols","PI 200 R1 IP - Steel frame required for magnetic mounting","54","44","53.3","0.7","",""
"Nicols","PI 300 R1 IP - Steel frame required with magnetic mounting","54","44","53.3","0.7","",""
"Nicols","SPRINTER HYBRID 200","24","20","23.7","0.3","",""
"Niethammer","Enispot","100","75","100","0","","Gobo holder: GH21 metal."
"Niethammer","Enispot","86","64.5","86","0","","Gobo holder: GH29 metal, GH39 glass."
"Niethammer","Enizoom","100","75","100","0","","Gobo holder: GH21 metal."
"Niethammer","Enizoom","86","64.5","86","0","","Gobo holder: GH29 metal, GH39 glass."
"Niethammer","HPZ","100","75","100","0","",""
"Niethammer","MZU","100","75","100","0","",""
"NJD","Predator","37.5","28","37.5","0","",""
"NJD","RAP 100","40","15","37.5","2.5","Nearest size is 2.5 mm under the holder",""
"NJD","RAP 250","48","28","44","4","Nearest size is 4 mm under the holder",""
"NJD","Vortex","48","28","44","4","Nearest size is 4 mm under the holder",""
"Novalite","Followspot","53.3","40","53.3","0","","Gobo holder: GH42."
"NW Lighting FX","Pass Spot 250 Back Stage","21.8","15","21.4","0.4","","Use 21.4mm glass."
"NW Lighting FX","Pass Spot 250 left Stage","21.8","15","21.4","0.4","","Use 21.4mm glass."
"NW Lighting FX","Pass Spot 250, 575","21.5","15","21.4","0.1","",""
"NW Lighting FX","Pass Spot 575 12","21.8","15","21.4","0.4","","Use 21.4mm glass."
"NW Lighting FX","Pass Spot 575 16","21.8","15","21.4","0.4","","Use 21.4mm glass."
"OmniSistem","Solo 250","26.9","22","26.5","0.4","",""
"OPTI Kinetics","Gobo40","50","40","50","0","",""
"OPTI Kinetics","Gobo Show F1, F2","50","35","50","0","",""
"OPTI Kinetics","GoboPro (rotating)","50","42","50","0","","GoboPlus lists image 35mm - verify."
"OPTI Kinetics","GoboPro (static)","44","42","44","0","","GoboPlus lists image 35mm - verify."
"OPTI Kinetics","GoboPro FX Rotating","50","42","50","0","",""
"OPTI Kinetics","GoboPro FX Static","44","42","44","0","",""
"OPTI Kinetics","GoboPro+ LED Rotating","50","40","50","0","",""
"OPTI Kinetics","GoboPro+ LED Static","44","40","44","0","",""
"OPTI Kinetics","K1","50","35","50","0","",""
"OPTI Kinetics","K2","50","35","50","0","",""
"OPTI Kinetics","K4","50","35","50","0","",""
"OPTI Kinetics","Solar 100","50","35","50","0","",""
"OPTI Kinetics","Solar 100 (rotating)","50","42","50","0","",""
"OPTI Kinetics","Solar 100 (static)","44","42","44","0","",""
"OPTI Kinetics","Solar 250","50","35","50","0","",""
"OPTI Kinetics","Solar 250 (rotating)","50","42","50","0","",""
"OPTI Kinetics","Solar 250 (static)","44","42","44","0","",""
"OPTI Kinetics","Solar 575","50","35","50","0","",""
"Optima","Matrix 300 / 575","26.5","18","26.5","0","",""
"Osram","Kreios G1 LED","37.5","28","37.5","0","",""
"Panavision","DP 70 TS, 75 TED","37.5","28","37.5","0","",""
"Panavision","DP 90","51.8","45","50","1.8","Nearest size is 1.8 mm under the holder",""
"Pani","BP Projector 18cm Square","100","75","100","0","","Gobo holder: GH26 metal."
"Pani","Profile","100","75","100","0","","Gobo holder: GH22 metal."
"Paul C Buff","Eclipse Optical Snoot","60×80","40","","","Not a standard round size","Rectangular gobo, not round."
"Pearl River (PR)","LED 400 Beam","27.8","23","27.8","0","",""
"Pearl River (PR)","Moon","26.9","22","26.5","0.4","",""
"Pearl River (PR)","Nova","24.9","22","23.7","1.2","Nearest size is 1.2 mm under the holder",""
"Pearl River (PR)","Orlando Scan 1200","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"Pearl River (PR)","Pilot 150","27.8","22","27.8","0","",""
"Pearl River (PR)","Pilot 150","26.9","22","26.5","0.4","",""
"Pearl River (PR)","Pilot 250","27.8","22","27.8","0","",""
"Pearl River (PR)","Pilot 575","36.3","28","35.3","1","Nearest size is 1 mm under the holder",""
"Pearl River (PR)","Pilot XL 250, SX 250","22.5","17","22.5","0","",""
"Pearl River (PR)","Pilot XL 575, XL 700, XL 1200","36.3","28","35.3","1","Nearest size is 1 mm under the holder",""
"Pearl River (PR)","Solo 250","26.8","19","26.5","0.3","",""
"Pearl River (PR)","Solo 575","36.3","28","35.3","1","Nearest size is 1 mm under the holder",""
"Pearl River (PR)","Solo 1200","36.3","28","35.3","1","Nearest size is 1 mm under the holder",""
"Philips","Deco Flood 2 DVP 628","100","75","100","0","",""
"Philips","Pro Flood Light","100","75","100","0","",""
"Philips","Soprano","38","35","37.5","0.5","",""
"Philips","Urban Scene CGP701","86","64.5","86","0","",""
"Photon Beard","650W, 1200W","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"PHOTOOLEX","TF-LS-104FS-B","85","65","70","15","Nearest size is 15 mm under the holder","Metal gobos only. Special Shape with handle."
"Pixapro","EF Mount Optical Snoot Spot Projector","60","45","53.3","6.7","Nearest size is 6.7 mm under the holder",""
"Pixapro","Mini30D","66","45","66","0","",""
"Pixapro","Optical Snoot Spot Projector (NOT EF)","60×80","40","","","Not a standard round size",""
"Playtech","Superspot 250","26.8","22","26.5","0.3","",""
"PR Lighting Ltd.","AQUA 350 Beam","12","6","","","No production size at or below 12 mm",""
"PR Lighting Ltd.","AQUA 600","37.5","26","37.5","0","",""
"PR Lighting Ltd.","AQUA Laser 260 Beam","12","6","","","No production size at or below 12 mm",""
"PR Lighting Ltd.","AQUA LED 600 Spot","37.5","26","37.5","0","",""
"PR Lighting Ltd.","AQUA LED 1500 Spot Rotating","37.5","26","37.5","0","",""
"PR Lighting Ltd.","AQUA LED 1700 Framing Rotating","36.3","26","35.3","1","Nearest size is 1 mm under the holder",""
"PR Lighting Ltd.","AQUA LED 1700 Framing Static","37.5","26","37.5","0","",""
"PR Lighting Ltd.","AQUA LED 1800 Framing Rotating","37.5","24","37.5","0","",""
"PR Lighting Ltd.","AQUA LED 1800 Framing Static","36.3","23","35.3","1","Nearest size is 1 mm under the holder",""
"PR Lighting Ltd.","AQUA Marine 380 Beam Rotating","12","6","","","No production size at or below 12 mm","Glass gobos only."
"PR Lighting Ltd.","AQUA Marine 380 BWS Rotating","10","6","","","No production size at or below 10 mm","Glass gobos only."
"PR Lighting Ltd.","AQUA Marine 480 Beam Rotating","22.5","9","22.5","0","","Glass gobos only."
"PR Lighting Ltd.","AQUA Marine 480 BWS Rotating","25","9","25","0","","Glass gobos only."
"PR Lighting Ltd.","AQUA Marine 580 Beam Rotating","22.5","9","22.5","0","","Glass gobos only."
"PR Lighting Ltd.","AQUA Marine 580 BWS Rotating","22.5","9","22.5","0","","Glass gobos only."
"PR Lighting Ltd.","Axis XTRA 17R","14.9","10","","","No production size at or below 14.9 mm","1mm Maximum Thickness."
"PR Lighting Ltd.","Merlin Rotating","22.5","12","22.5","0","","1.1mm Maximum Thickness."
"PR Lighting Ltd.","Phantom 440","22.5","9","22.5","0","","1.5mm Maximum Thickness."
"PR Lighting Ltd.","Pilot 575","36.3","31.5","35.3","1","Nearest size is 1 mm under the holder",""
"PR Lighting Ltd.","PR 5000 Spot","36.3","24","35.3","1","Nearest size is 1 mm under the holder",""
"PR Lighting Ltd.","PR 6000 Framing Rotating","37.5","25","37.5","0","",""
"PR Lighting Ltd.","PR 6000 Framing Static","36.3","23","35.3","1","Nearest size is 1 mm under the holder",""
"PR Lighting Ltd.","PR 6000 Spot","36.3","26","35.3","1","Nearest size is 1 mm under the holder",""
"PR Lighting Ltd.","PR 6000 Spot Rotating","37.5","25","37.5","0","",""
"PR Lighting Ltd.","PR 6000 Spot Static","36.3","23","35.3","1","Nearest size is 1 mm under the holder",""
"PR Lighting Ltd.","TANGO 1800 Framing Rotating","37.5","24","37.5","0","",""
"PR Lighting Ltd.","TANGO 1800 Framing Static","36.3","23","35.3","1","Nearest size is 1 mm under the holder",""
"PR Lighting Ltd.","TANGO Framing Rotating","37.5","26","37.5","0","",""
"PR Lighting Ltd.","TANGO Spot","37.5","26","37.5","0","",""
"PR Lighting Ltd.","XL 250","22.5","17","22.5","0","",""
"PR Lighting Ltd.","XR 330 Beam II Rotating","12","9","","","No production size at or below 12 mm",""
"PR Lighting Ltd.","XR 330 BWS","15.9","13","","","No production size at or below 15.9 mm",""
"PR Lighting Ltd.","XR 330 Framing","14.8","8","","","No production size at or below 14.8 mm",""
"PR Lighting Ltd.","XR 350 BWS","15.9","12.5","","","No production size at or below 15.9 mm","1.1mm Maximum Thickness."
"PR Lighting Ltd.","XR 350B BWS Rotating","15.9","12.5","","","No production size at or below 15.9 mm",""
"PR Lighting Ltd.","XR 380 Beam Rotating","12","9","","","No production size at or below 12 mm",""
"PR Lighting Ltd.","XR 380 BWS Rotating","15.9","12.5","","","No production size at or below 15.9 mm",""
"PR Lighting Ltd.","XR 440 BWS","15.9","12.5","","","No production size at or below 15.9 mm","1.1mm Maximum Thickness."
"PR Lighting Ltd.","XR 470 BWS","15.9","12.5","","","No production size at or below 15.9 mm","1.1mm Maximum Thickness."
"PR Lighting Ltd.","XR 480 BWS Rotating","15.9","12.5","","","No production size at or below 15.9 mm","1.1mm Maximum Thickness."
